iter	MultiClass
0	0.8089618655
1	0.5950997608
2	0.4726121201
3	0.3945614326
4	0.3424201609
5	0.3092025991
6	0.2791544698
7	0.2707151218
8	0.2603036056
9	0.2530737101
10	0.2435665521
11	0.2368857823
12	0.231822011
13	0.2241814583
14	0.2189506843
15	0.217518126
16	0.2129205965
17	0.2101234187
18	0.2058375653
19	0.2026343181
20	0.2012114828
21	0.1944484573
22	0.1918565651
23	0.19019303
24	0.1860469063
25	0.1819723052
26	0.1801218555
27	0.1751394043
28	0.1736545616
29	0.1716656554
30	0.1704797299
31	0.1678611888
32	0.1660179768
33	0.1643867475
34	0.1621687449
35	0.1600907615
36	0.1586049315
37	0.1564009644
38	0.1554912619
39	0.1526792932
40	0.1512258707
41	0.1488131195
42	0.1468407724
43	0.1455740841
44	0.1448324081
45	0.1433689546
46	0.1418894185
47	0.1407540817
48	0.1396931078
49	0.1378621326
50	0.1345062332
51	0.1331316072
52	0.1327214379
53	0.1307925825
54	0.1298563344
55	0.1282209673
56	0.1265371665
57	0.1250940132
58	0.1237737181
59	0.1232132146
60	0.1215788602
61	0.1203086342
62	0.1193945515
63	0.1183759623
64	0.117838228
65	0.1175437271
66	0.1162029567
67	0.1146376174
68	0.1140623036
69	0.1123615685
70	0.1115863702
71	0.111096255
72	0.109822981
73	0.1084420835
74	0.107086544
75	0.1050014666
76	0.1035824677
77	0.1029325058
78	0.1025354174
79	0.1015615021
80	0.1008586969
81	0.09997224173
82	0.09985536575
83	0.09937541714
84	0.09869906002
85	0.09781959359
86	0.0970367091
87	0.09639100191
88	0.09588967448
89	0.09554667332
90	0.09491448826
91	0.093533462
92	0.09224163849
93	0.09207980092
94	0.09145392722
95	0.09084118785
96	0.08987401141
97	0.08918351143
98	0.08864129522
99	0.08800911989
