iter	Passed	Remaining
0	47	4693
1	48	2361
2	48	1583
3	49	1195
4	50	963
5	51	805
6	52	695
7	53	611
8	53	544
9	54	491
10	55	447
11	56	410
12	56	379
13	57	352
14	58	329
15	58	309
16	59	291
17	60	274
18	61	260
19	61	247
20	62	235
21	63	224
22	63	213
23	64	204
24	65	196
25	66	188
26	66	180
27	67	173
28	68	167
29	69	161
30	69	155
31	70	150
32	71	144
33	72	139
34	72	135
35	73	130
36	74	126
37	74	122
38	75	118
39	76	114
40	77	111
41	77	107
42	78	104
43	79	101
44	80	98
45	80	95
46	81	92
47	82	89
48	83	86
49	83	83
50	84	81
51	85	78
52	86	76
53	87	74
54	87	71
55	88	69
56	89	67
57	90	65
58	90	63
59	91	60
60	92	58
61	92	56
62	93	55
63	94	53
64	95	51
65	95	49
66	96	47
67	97	45
68	98	44
69	98	42
70	99	40
71	100	39
72	101	37
73	101	35
74	102	34
75	103	32
76	104	31
77	105	29
78	105	28
79	106	26
80	107	25
81	108	23
82	108	22
83	109	20
84	110	19
85	111	18
86	112	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	120	2
98	121	1
99	122	0
