iter	Passed	Remaining
0	24	12206
1	46	11512
2	65	10778
3	88	10912
4	108	10762
5	136	11277
6	160	11288
7	187	11504
8	211	11550
9	234	11466
10	255	11378
11	278	11313
12	300	11271
13	322	11198
14	347	11241
15	369	11172
16	391	11109
17	414	11100
18	437	11086
19	458	11014
20	489	11171
21	515	11196
22	555	11522
23	584	11593
24	609	11573
25	632	11523
26	653	11444
27	674	11375
28	699	11365
29	725	11361
30	750	11352
31	773	11310
32	797	11285
33	825	11319
34	850	11294
35	872	11241
36	897	11230
37	923	11223
38	948	11206
39	971	11177
40	998	11173
41	1023	11156
42	1046	11117
43	1067	11063
44	1092	11048
45	1122	11079
46	1149	11081
47	1172	11037
48	1198	11030
49	1225	11026
50	1247	10985
51	1270	10945
52	1294	10914
53	1319	10894
54	1340	10844
55	1368	10848
56	1391	10817
57	1416	10794
58	1437	10747
59	1464	10737
60	1493	10749
61	1521	10748
62	1542	10702
63	1565	10663
64	1588	10632
65	1617	10638
66	1638	10590
67	1661	10554
68	1682	10507
69	1707	10487
70	1728	10446
71	1749	10397
72	1771	10363
73	1793	10327
74	1815	10289
75	1837	10250
76	1862	10229
77	1882	10185
78	1904	10146
79	1924	10105
80	1945	10063
81	1966	10022
82	1991	10005
83	2014	9974
84	2034	9934
85	2055	9894
86	2081	9879
87	2103	9850
88	2126	9821
89	2147	9783
90	2168	9744
91	2189	9710
92	2210	9673
93	2230	9633
94	2250	9594
95	2270	9556
96	2292	9522
97	2315	9498
98	2337	9466
99	2360	9443
100	2382	9411
101	2405	9388
102	2426	9354
103	2447	9319
104	2468	9287
105	2495	9274
106	2517	9244
107	2536	9207
108	2560	9185
109	2583	9158
110	2606	9134
111	2634	9124
112	2666	9133
113	2688	9102
114	2711	9077
115	2733	9050
116	2754	9016
117	2774	8983
118	2794	8948
119	2817	8920
120	2837	8889
121	2860	8863
122	2882	8834
123	2905	8809
124	2928	8784
125	2947	8750
126	2971	8726
127	2995	8704
128	3015	8671
129	3035	8640
130	3056	8610
131	3080	8587
132	3104	8566
133	3124	8534
134	3146	8507
135	3170	8485
136	3188	8449
137	3208	8417
138	3231	8392
139	3252	8363
140	3275	8339
141	3300	8320
142	3319	8288
143	3341	8261
144	3373	8259
145	3401	8248
146	3425	8225
147	3448	8200
148	3470	8175
149	3497	8159
150	3516	8127
151	3536	8097
152	3561	8077
153	3584	8054
154	3608	8030
155	3628	8002
156	3651	7976
