iter	Logloss
0	0.5603611576
1	0.4815311182
2	0.4330311686
3	0.4004116676
4	0.375964867
5	0.3576140873
6	0.3434878123
7	0.3325879798
8	0.3241659807
9	0.3172498217
10	0.3115009727
11	0.3067954024
12	0.3029639989
13	0.2996559516
14	0.2965385781
15	0.293993974
16	0.2915107809
17	0.2895804656
18	0.2877890044
19	0.2862703218
20	0.2850059911
21	0.2838068886
22	0.2825324901
23	0.2815869218
24	0.2808323296
25	0.2801295612
26	0.2794907382
27	0.2788107213
28	0.2782575684
29	0.2778586542
30	0.2774022352
31	0.2769032467
32	0.2765696227
33	0.2761999938
34	0.2758957481
35	0.2756236979
36	0.275346358
37	0.2750874023
38	0.2748122326
39	0.2746183811
40	0.2743898189
41	0.2742262215
42	0.2740626705
43	0.2739161551
44	0.2737581845
45	0.2736123628
46	0.273490184
47	0.2733195723
48	0.2731671278
49	0.2730787838
50	0.2729624411
51	0.27287059
52	0.2727798588
53	0.2726848416
54	0.2726068367
55	0.2725079171
56	0.2724280483
57	0.2723473191
58	0.2722965069
59	0.2721721269
60	0.27208791
61	0.2720396322
62	0.2719912187
63	0.2719152561
64	0.2718352322
65	0.271782866
66	0.2717265586
67	0.2716713247
68	0.2716305804
69	0.2715849338
70	0.2715545131
71	0.2714442274
72	0.271396186
73	0.2713582008
74	0.2713300045
75	0.2712752511
76	0.271242513
77	0.2711983081
78	0.2711688213
79	0.2710951645
80	0.2710607406
81	0.2710295798
82	0.2710043558
83	0.2709756479
84	0.2709523732
85	0.2709247388
86	0.2708974687
87	0.2708716324
88	0.2708455326
89	0.2707902173
90	0.2707537629
91	0.2707286203
92	0.2707048379
93	0.2706876434
94	0.2706485964
95	0.2706315492
96	0.2706109212
97	0.2705931028
98	0.2705622055
99	0.270548801
100	0.2705219184
101	0.2705026197
102	0.2704891183
103	0.2704639021
104	0.2704511758
105	0.2704381123
106	0.2704182981
107	0.2704037466
108	0.2703871295
109	0.2703720122
110	0.2703147438
111	0.2703010719
112	0.2702897329
113	0.2702671518
114	0.2702571808
115	0.2702413001
116	0.2702244156
117	0.2702083488
118	0.2701879767
119	0.2701759634
120	0.2701618342
121	0.2701499411
122	0.2701372535
123	0.2701265423
124	0.2701182028
125	0.2701083597
126	0.270093223
127	0.2700822521
128	0.2700276576
129	0.2699845029
130	0.2699745396
131	0.2698410335
132	0.2698282335
133	0.2698204598
134	0.2697239932
135	0.2697159366
136	0.2696994823
137	0.2696630084
138	0.2696561492
139	0.2696454381
140	0.2696339596
141	0.2695922193
142	0.2695459178
143	0.2695121218
144	0.2694886068
145	0.2694704319
146	0.2694375116
147	0.2694306718
148	0.2693925936
149	0.2693073033
150	0.26928883
151	0.2692565647
152	0.2692490622
153	0.2692382464
154	0.2692156459
155	0.269190918
156	0.2691724989
157	0.2691467866
158	0.2691249922
159	0.2691176564
160	0.2690962069
161	0.2690868598
162	0.269074862
163	0.2690665729
164	0.269057156
165	0.2690330442
166	0.2690238018
167	0.2690180354
168	0.2690090797
169	0.2690041116
170	0.2689992133
171	0.2689780893
172	0.2689641927
173	0.2689459403
174	0.2689393446
175	0.2689253976
176	0.2689189104
177	0.2689123109
178	0.2688991777
179	0.268890966
180	0.2688827582
181	0.2688747636
182	0.2688666256
183	0.2688577551
184	0.2688421766
185	0.2688328567
186	0.2688228469
187	0.2688086403
188	0.2687952551
189	0.2687849044
190	0.2687550417
191	0.2687339255
192	0.2687200056
193	0.2687021174
194	0.2686905769
195	0.2686830822
196	0.2686771725
197	0.2686616482
198	0.268652119
199	0.2686458527
200	0.2686387804
201	0.2686324444
202	0.2686175556
203	0.2685811244
204	0.2685610119
205	0.2685542496
206	0.2685396515
207	0.2685181245
208	0.2685129898
209	0.268506615
210	0.2685019841
211	0.2684927494
212	0.2684838557
213	0.2684577675
214	0.2684116288
215	0.268404727
216	0.2683903189
217	0.2683859708
218	0.2683794062
219	0.2683735662
220	0.2683684625
221	0.2683623163
222	0.2683362901
223	0.2683290357
224	0.2683179641
225	0.2683067453
