iter	Passed	Remaining
0	23	42262
1	43	38319
2	61	36425
3	81	35770
4	99	35061
5	118	34776
6	137	34580
7	153	33805
8	170	33304
9	193	33964
10	209	33547
11	229	33583
12	246	33333
13	263	33077
14	287	33621
15	306	33534
16	323	33323
17	340	33126
18	361	33290
19	381	33321
20	397	33123
21	418	33224
22	439	33369
23	456	33185
24	476	33269
25	494	33171
26	511	32998
27	526	32742
28	543	32616
29	560	32496
30	578	32421
31	596	32353
32	610	32099
33	627	32020
34	646	32020
35	668	32167
36	682	31943
37	702	32018
38	718	31866
39	736	31821
40	753	31737
41	771	31730
42	789	31693
43	806	31617
44	825	31634
45	842	31563
46	866	31741
47	881	31595
48	899	31559
49	917	31536
50	932	31425
51	954	31531
52	972	31497
53	994	31573
54	1012	31539
55	1032	31574
56	1048	31491
57	1065	31422
58	1086	31477
59	1106	31520
60	1129	31612
61	1147	31592
62	1167	31603
63	1189	31690
64	1214	31830
65	1232	31799
66	1253	31846
67	1270	31790
68	1290	31796
69	1311	31834
70	1332	31858
71	1351	31860
72	1372	31890
73	1396	31986
74	1414	31949
75	1431	31882
76	1449	31852
77	1471	31896
78	1489	31857
79	1509	31878
80	1528	31851
81	1549	31871
82	1569	31889
83	1590	31909
84	1611	31917
85	1632	31951
86	1654	31984
87	1674	31987
88	1697	32033
89	1718	32053
90	1743	32149
91	1764	32161
92	1783	32140
93	1803	32133
94	1824	32144
95	1841	32086
96	1867	32184
97	1891	32251
98	1913	32275
99	1930	32221
100	1951	32236
101	1970	32209
102	1986	32138
103	2008	32156
104	2027	32138
105	2049	32153
106	2069	32151
107	2091	32170
108	2111	32159
109	2140	32281
110	2161	32292
111	2181	32278
112	2200	32252
113	2221	32255
114	2243	32264
115	2259	32202
116	2280	32194
117	2296	32129
118	2322	32196
119	2342	32196
120	2368	32262
121	2386	32224
122	2407	32213
123	2426	32191
124	2450	32231
125	2472	32237
126	2491	32216
127	2510	32187
128	2532	32195
129	2556	32227
130	2577	32229
131	2597	32216
132	2618	32206
133	2639	32201
134	2667	32285
135	2685	32250
136	2704	32217
137	2726	32220
138	2747	32217
139	2768	32209
140	2789	32205
141	2810	32206
142	2831	32193
143	2855	32222
144	2875	32201
145	2897	32210
146	2919	32211
147	2940	32204
148	2948	32060
149	2973	32092
150	2993	32072
151	3017	32096
152	3037	32078
153	3059	32087
154	3080	32075
155	3097	32023
156	3116	31995
157	3133	31948
158	3157	31975
159	3178	31962
